ID,first_party_winner
TEST_0000,0.6543769
TEST_0001,0.6543769
TEST_0002,0.6543769
TEST_0003,0.6543769
TEST_0004,0.6543769
TEST_0005,0.6543769
TEST_0006,0.6543769
TEST_0007,0.6543769
TEST_0008,0.6543769
TEST_0009,0.6543769
TEST_0010,0.6543769
TEST_0011,0.6543769
TEST_0012,0.6543769
TEST_0013,0.6543769
TEST_0014,0.6543769
TEST_0015,0.6543769
TEST_0016,0.6543769
TEST_0017,0.6543769
TEST_0018,0.6543769
TEST_0019,0.6543769
TEST_0020,0.6514294
TEST_0021,0.6543769
TEST_0022,0.6543769
TEST_0023,0.6543769
TEST_0024,0.6543769
TEST_0025,0.6543769
TEST_0026,0.6543769
TEST_0027,0.6543769
TEST_0028,0.6543769
TEST_0029,0.6543769
TEST_0030,0.6543769
TEST_0031,0.6543769
TEST_0032,0.6543769
TEST_0033,0.6543769
TEST_0034,0.6543769
TEST_0035,0.6543769
TEST_0036,0.6543769
TEST_0037,0.6543769
TEST_0038,0.6543769
TEST_0039,0.6543769
TEST_0040,0.6543769
TEST_0041,0.6543769
TEST_0042,0.6543768
TEST_0043,0.6543769
TEST_0044,0.6543769
TEST_0045,0.6543769
TEST_0046,0.6543769
TEST_0047,0.6543769
TEST_0048,0.6543769
TEST_0049,0.6543769
TEST_0050,0.6543769
TEST_0051,0.6543769
TEST_0052,0.6543769
TEST_0053,0.6543769
TEST_0054,0.6543769
TEST_0055,0.6543769
TEST_0056,0.6543769
TEST_0057,0.6543769
TEST_0058,0.6543769
TEST_0059,0.6543769
TEST_0060,0.6543769
TEST_0061,0.6543769
TEST_0062,0.6543769
TEST_0063,0.6543769
TEST_0064,0.6543769
TEST_0065,0.6543769
TEST_0066,0.6543769
TEST_0067,0.6543769
TEST_0068,0.6543769
TEST_0069,0.6543769
TEST_0070,0.6543769
TEST_0071,0.6543769
TEST_0072,0.6543769
TEST_0073,0.6543769
TEST_0074,0.6543606
TEST_0075,0.6543769
TEST_0076,0.6543769
TEST_0077,0.6543769
TEST_0078,0.6543769
TEST_0079,0.6543769
TEST_0080,0.6543769
TEST_0081,0.6543769
TEST_0082,0.6543769
TEST_0083,0.6543769
TEST_0084,0.6543769
TEST_0085,0.6543769
TEST_0086,0.6543769
TEST_0087,0.6543769
TEST_0088,0.6543769
TEST_0089,0.6543769
TEST_0090,0.6543769
TEST_0091,0.6543769
TEST_0092,0.6543769
TEST_0093,0.6543769
TEST_0094,0.6543769
TEST_0095,0.6543769
TEST_0096,0.6543769
TEST_0097,0.6543769
TEST_0098,0.6543769
TEST_0099,0.6543769
TEST_0100,0.6543769
TEST_0101,0.6543769
TEST_0102,0.6543769
TEST_0103,0.6543769
TEST_0104,0.6543769
TEST_0105,0.6543769
TEST_0106,0.6543769
TEST_0107,0.6543769
TEST_0108,0.6543769
TEST_0109,0.6543769
TEST_0110,0.6543769
TEST_0111,0.6543769
TEST_0112,0.6543769
TEST_0113,0.6543769
TEST_0114,0.6543769
TEST_0115,0.6543769
TEST_0116,0.6543769
TEST_0117,0.6543769
TEST_0118,0.6543769
TEST_0119,0.6543769
TEST_0120,0.6543769
TEST_0121,0.6543769
TEST_0122,0.6543769
TEST_0123,0.6543769
TEST_0124,0.6543769
TEST_0125,0.6543769
TEST_0126,0.6543769
TEST_0127,0.6543769
TEST_0128,0.6543769
TEST_0129,0.6543769
TEST_0130,0.6543769
TEST_0131,0.6543769
TEST_0132,0.6543769
TEST_0133,0.6543769
TEST_0134,0.6543769
TEST_0135,0.6543769
TEST_0136,0.6543769
TEST_0137,0.6543769
TEST_0138,0.6543769
TEST_0139,0.6543769
TEST_0140,0.6543769
TEST_0141,0.6543769
TEST_0142,0.6543769
TEST_0143,0.6543769
TEST_0144,0.6543769
TEST_0145,0.6543769
TEST_0146,0.6543769
TEST_0147,0.6543769
TEST_0148,0.6543769
TEST_0149,0.6543769
TEST_0150,0.6543769
TEST_0151,0.6543769
TEST_0152,0.6543769
TEST_0153,0.6543769
TEST_0154,0.6543769
TEST_0155,0.6543769
TEST_0156,0.6543769
TEST_0157,0.6543769
TEST_0158,0.6543769
TEST_0159,0.6543769
TEST_0160,0.6543769
TEST_0161,0.6543769
TEST_0162,0.6543769
TEST_0163,0.6543769
TEST_0164,0.6543769
TEST_0165,0.6543769
TEST_0166,0.6543769
TEST_0167,0.6543769
TEST_0168,0.6543769
TEST_0169,0.6543769
TEST_0170,0.6543769
TEST_0171,0.6543769
TEST_0172,0.6543769
TEST_0173,0.6543769
TEST_0174,0.6543769
TEST_0175,0.6543769
TEST_0176,0.6543769
TEST_0177,0.6543769
TEST_0178,0.6543769
TEST_0179,0.6543769
TEST_0180,0.6543769
TEST_0181,0.6543769
TEST_0182,0.6543769
TEST_0183,0.6537773
TEST_0184,0.6543769
TEST_0185,0.6543769
TEST_0186,0.6543769
TEST_0187,0.6543769
TEST_0188,0.6543769
TEST_0189,0.6543769
TEST_0190,0.6543769
TEST_0191,0.6543769
